date,open,high,low.close,volume,unadjClose,flag
19760824,101.96,102.65,100.98,101.27,1674,101.27,1.0
19760825,101.27,102.41,100.43,102.03,1740,102.03,1.0
19760826,102.03,102.59,101.01,101.32,1527,101.32,1.0
19760827,101.32,101.9,100.55,101.48,1212,101.48,1.0
19760830,101.48,102.51,101.22,102.07,1114,102.07,1.0
19760831,102.07,103.38,101.94,102.91,1548,102.91,1.0
19760901,102.91,104.3,102.6,104.06,1864,104.06,1.0
19760902,104.06,104.84,103.47,103.92,1892,103.92,1.0
19760903,103.92,104.63,103.36,104.3,1328,104.3,1.0
19760907,104.3,105.31,103.93,105.03,1631,105.03,1.0
